color;red;green;blue;hex;color_name;lum;hue;sat;lig
Other;255;250;250;#FFFAFA;Snow;99;0;100;99
Other;244;194;194;#F4C2C2;Baby Pink;82;0;69;86
Other;255;105;97;#FF6961;Pastel Red;64;3;100;69
Other;255;92;92;#FF5C5C;Indian Red;62;0;100;68
Other;255;28;0;#FF1C00;Ferrari Red;54;7;100;50
Other;255;8;0;#FF0800;Candy Apple Red;54;2;100;50
Other;255;0;0;#FF0000;Red;54;0;100;50
Other;205;92;92;#CD5C5C;Chestnut;53;0;53;58
Other;227;66;52;#E34234;Cinnabar;52;5;76;55
Other;215;59;62;#D73B3E;Jasper;50;359;66;54
Other;206;22;32;#CE1620;Fire Engine Red;45;357;81;45
Other;204;0;0;#CC0000;Boston University Red;43;0;100;40
Other;178;34;34;#B22222;Firebrick;39;0;68;42
Other;179;27;27;#B31B1B;Cornell Red;39;0;74;40
Other;164;0;0;#A40000;Dark Candy Apple Red;34;0;100;32
Other;128;0;0;#800000;Maroon;26;0;100;25
Other;112;28;28;#701C1C;Prune;25;0;60;27
Other;60;20;20;#3C1414;Dark Sienna;14;0;50;16
Other;50;20;20;#321414;Seal Brown;12;0;43;14
Other;255;153;102;#FF9966;Atomic Tangerine;71;20;100;70
Other;255;140;105;#FF8C69;Salmon;69;14;100;71
Other;233;150;122;#E9967A;Dark Salmon;68;15;72;70
Other;255;127;80;#FF7F50;Coral;66;16;100;66
Other;233;116;81;#E97451;Burnt Sienna;61;14;78;62
Other;255;90;54;#FF5A36;Portland Orange;60;11;100;61
Other;226;114;91;#E2725B;Terra Cotta;60;10;70;62
Other;255;56;0;#FF3800;Coquelicot;56;13;100;50
Other;226;88;34;#E25822;Flame;54;17;77;51
Other;152;129;123;#98817B;Cinereous;53;12;12;54
Other;205;91;69;#CD5B45;Dark Coral;52;10;58;54
Other;152;105;96;#986960;Dark Chestnut;47;10;23;49
Other;203;65;11;#CB410B;Sinopia;46;17;90;42
Other;194;59;34;#C23B22;Dark Pastel Red;45;9;70;45
Other;192;64;0;#C04000;Mahogany;44;20;100;38
Other;183;65;14;#B7410E;Rust;43;18;86;39
Other;121;68;59;#79443B;Bole;34;9;34;35
Other;138;51;36;#8A3324;Burnt Umber;33;9;59;34
Other;109;53;26;#6D351A;Auburn;28;20;61;26
Other;255;245;238;#FFF5EE;Seashell;97;25;100;97
Other;247;231;206;#F7E7CE;Champagne;91;37;72;89
Other;255;229;180;#FFE5B4;Peach;91;39;100;85
Other;245;222;179;#F5DEB3;Wheat;88;39;77;83
Other;250;214;165;#FAD6A5;Sunset;86;35;89;81
Other;251;206;177;#FBCEB1;Apricot;85;24;90;84
Other;237;201;175;#EDC9AF;Desert Sand;82;25;63;81
Other;255;179;71;#FFB347;Pastel Orange;76;35;100;64
Other;222;184;135;#DEB887;Burlywood;74;34;57;70
Other;255;168;18;#FFA812;Dark Tangerine;73;38;100;54
Other;255;167;0;#FFA700;Chrome Yellow;73;39;100;50
Other;229;170;112;#E5AA70;Fawn;71;30;69;67
Other;225;169;95;#E1A95F;Earth Yellow;70;34;68;63
